Date,Price,Open,High,Low,Vol.,Change %
May 16, 2016,48.97,47.8,49.47,47.77,294.38,2.38%
May 13, 2016,47.83,47.85,48.12,47.26,239.05,-0.52%
May 12, 2016,48.08,47.32,48.19,46.8,353.85,1.01%
May 11, 2016,47.6,45.59,47.75,44.8,381.74,4.57%
May 10, 2016,45.52,43.49,45.7,43.33,343.21,4.33%
May 09, 2016,43.63,45.75,46.48,43.43,364.58,-3.84%
May 06, 2016,45.37,45.16,46.12,44.19,283.65,0.80%
May 05, 2016,45.01,45.08,46.77,44.65,280.79,0.87%
May 04, 2016,44.62,45.21,46.01,44.19,293.82,-0.78%
May 03, 2016,44.97,45.8,46.4,44.62,276.40,-1.88%
May 02, 2016,45.83,47.37,47.4,45.72,168.09,-4.78%
Apr 29, 2016,48.13,47.9,48.5,47.41,29.52,-0.02%
Apr 28, 2016,48.14,47.1,48.19,46.74,113.08,2.03%
Apr 27, 2016,47.18,46.26,47.45,45.63,150.79,3.15%
Apr 26, 2016,45.74,44.69,46.49,44.36,199.24,2.83%
Apr 25, 2016,44.48,45.13,45.59,44.26,211.68,-1.40%
Apr 22, 2016,45.11,44.75,45.9,44.3,272.85,1.30%
Apr 21, 2016,44.53,45.54,46.18,44.44,312.60,-2.77%
Apr 20, 2016,45.8,43.52,45.88,42.81,297.26,4.02%
Apr 19, 2016,44.03,43.14,44.5,42.6,355.95,2.61%
Apr 18, 2016,42.91,41.8,43.43,40.1,383.37,-0.44%
Apr 15, 2016,43.1,43.8,44.05,42.28,285.17,-1.69%
Apr 14, 2016,43.84,44.01,44.62,43.29,234.37,-0.77%
Apr 13, 2016,44.18,44.44,44.94,43.76,348.59,-1.14%
Apr 12, 2016,44.69,42.7,44.81,42.56,357.35,4.34%
Apr 11, 2016,42.83,42,43.06,41.41,279.92,2.12%
Apr 08, 2016,41.94,39.68,42.01,39.62,340.22,6.37%
Apr 07, 2016,39.43,39.9,40.29,38.7,308.72,-1.03%
Apr 06, 2016,39.84,38.4,39.94,38.34,323.37,5.20%
Apr 05, 2016,37.87,37.5,38.44,37.27,296.45,0.48%
Apr 04, 2016,37.69,38.69,38.92,37.5,286.65,-2.53%
Apr 01, 2016,38.67,40.14,40.43,38.55,286.17,-2.35%
Mar 31, 2016,39.6,39.12,40,38.74,27.80,0.87%
Mar 30, 2016,39.26,39.42,40.61,39.09,103.12,0.31%
Mar 29, 2016,39.14,40.19,40.25,38.76,149.53,-2.81%
Mar 28, 2016,40.27,40.58,41,39.64,78.61,-0.42%
Mar 24, 2016,40.44,40.4,40.64,39.22,203.28,-0.07%
Mar 23, 2016,40.47,41.56,41.82,40.42,240.91,-3.16%
Mar 22, 2016,41.79,41.47,42.08,40.97,268.21,0.60%
Mar 21, 2016,41.54,41.31,41.88,40.48,234.10,0.83%
Mar 18, 2016,41.2,41.38,42.54,41.07,286.65,-0.82%
Mar 17, 2016,41.54,40.45,41.6,40.41,249.23,3.00%
Mar 16, 2016,40.33,39.14,40.44,38.83,263.87,4.10%
Mar 15, 2016,38.74,39.67,39.74,38.32,224.36,-2.00%
Mar 14, 2016,39.53,40.25,40.65,38.82,264.71,-2.13%
Mar 11, 2016,40.39,40.33,41.03,40.02,276.65,0.85%
Mar 10, 2016,40.05,40.89,41.01,39.63,287.78,-2.48%
Mar 09, 2016,41.07,39.65,41.18,39.39,333.49,3.58%
Mar 08, 2016,39.65,40.71,41.48,39.31,352.25,-2.91%
Mar 07, 2016,40.84,38.88,41.04,38.87,341.91,5.48%
Mar 04, 2016,38.72,37.04,38.95,36.82,295.79,4.45%
Mar 03, 2016,37.07,37.05,37.37,36.35,256.49,0.38%
Mar 02, 2016,36.93,36.62,37.4,36.1,278.17,0.33%
Mar 01, 2016,36.81,36.6,37.25,35.95,276.26,2.34%
Feb 29, 2016,35.97,35.1,36.23,34.83,30.24,2.48%
Feb 26, 2016,35.1,35.1,37,34.73,126.42,-0.54%
Feb 25, 2016,35.29,34.39,35.74,33.29,210.57,2.56%
Feb 24, 2016,34.41,32.98,34.67,32.37,344.00,3.43%
Feb 23, 2016,33.27,34.54,35.11,32.9,348.08,-4.09%
Feb 22, 2016,34.69,33.25,34.97,32.85,233.33,5.09%
Feb 19, 2016,33.01,33.88,34.46,32.68,287.09,-3.70%
Feb 18, 2016,34.28,34.91,35.73,33.79,324.10,-0.64%
Feb 17, 2016,34.5,32.54,34.99,31.82,355.92,7.21%
Feb 16, 2016,32.18,34.51,35.55,31.92,398.49,-3.62%
Feb 15, 2016,33.39,32.77,34.09,32.67,160.51,0.09%
Feb 12, 2016,33.36,31.31,33.44,30.85,394.48,10.98%
Feb 11, 2016,30.06,30.83,31.35,29.92,347.59,-2.53%
Feb 10, 2016,30.84,30.95,31.9,30.35,332.99,1.72%
Feb 09, 2016,30.32,33.17,33.56,30.28,305.77,-7.79%
Feb 08, 2016,32.88,33.99,34.68,32.77,211.55,-3.46%
Feb 05, 2016,34.06,34.39,35.14,33.81,296.57,-1.16%
Feb 04, 2016,34.46,35.32,35.84,34.15,323.93,-1.66%
Feb 03, 2016,35.04,32.41,35.53,32.3,396.58,7.09%
Feb 02, 2016,32.72,34.18,34.18,32.23,346.89,-4.44%
Feb 01, 2016,34.24,35.85,36.25,33.92,331.87,-1.44%
Jan 29, 2016,34.74,34.08,35,33.59,29.66,2.51%
Jan 28, 2016,33.89,32.84,35.84,32.56,195.14,2.39%
Jan 27, 2016,33.1,31.2,33.49,30.83,257.11,4.09%
Jan 26, 2016,31.8,30.01,32.72,29.27,335.09,4.26%
Jan 25, 2016,30.5,32.1,32.81,30,310.14,-5.22%
Jan 22, 2016,32.18,29.62,32.3,29.29,407.78,10.02%
Jan 21, 2016,29.25,27.99,29.84,27.29,394.26,4.91%
Jan 20, 2016,27.88,28.66,28.75,27.1,375.40,-3.06%
Jan 19, 2016,28.76,28.7,30.24,28.6,419.48,0.74%
Jan 18, 2016,28.55,28.73,29.58,27.67,211.26,-1.35%
Jan 15, 2016,28.94,31,31.02,28.82,344.46,-6.74%
Jan 14, 2016,31.03,30.26,31.23,29.73,16.39,2.38%
Jan 13, 2016,30.31,30.82,31.92,29.96,91.96,-1.78%
Jan 12, 2016,30.86,31.54,32.38,30.34,142.53,-2.19%
Jan 11, 2016,31.55,33.34,33.38,31.17,202.06,-5.96%
Jan 08, 2016,33.55,34.02,34.72,32.78,206.97,-0.59%
Jan 07, 2016,33.75,34.52,34.74,32.16,291.51,-1.40%
Jan 06, 2016,34.23,36.64,36.67,34.13,296.86,-6.01%
Jan 05, 2016,36.42,37.27,37.57,36.24,275.47,-2.15%
Jan 04, 2016,37.22,37.85,38.99,36.77,321.84,-0.16%
Dec 31, 2015,37.28,36.57,37.95,36.1,149.60,2.25%
Dec 30, 2015,36.46,37.29,37.55,36.35,173.51,-3.52%
Dec 29, 2015,37.79,36.59,37.98,36.56,171.68,3.19%
Dec 28, 2015,36.62,37.84,37.95,36.41,84.34,-3.35%
Dec 24, 2015,37.89,37.77,38.1,36.91,111.02,1.42%
Dec 23, 2015,37.36,36.37,37.88,36.28,196.98,3.46%
Dec 22, 2015,36.11,36.36,36.72,35.98,166.30,-0.66%
Dec 21, 2015,36.35,36.55,36.75,36.04,175.12,-1.44%
Dec 18, 2015,36.88,36.81,37.73,36.41,218.04,-0.49%
Dec 17, 2015,37.06,37.6,37.93,36.75,200.85,-0.35%
Dec 16, 2015,37.19,38.09,38.45,37.11,18.23,-3.28%
Dec 15, 2015,38.45,37.89,39.41,37.55,73.70,1.40%
